"type","density","pressure","velocity:0","velocity:1","velocity:2","domain","Points:0","Points:1","Points:2"
0,1004.7,15839,0,0,0,1,0.18275,0.00425,0.36125
1,1006.5,22394,0.058323,0,-18.896,1,0.090535,0.00425,0.32136
1,1016.7,58769,0.19476,0,-16.783,1,0.12066,0.00425,0.2022
1,1017.7,62014,-0.63244,0,-16.241,1,0.11952,0.00425,0.17711
1,1019.1,67552,0.5697,0,-17.846,1,0.10416,0.00425,0.052287
0,1033.2,1.2351e+05,0,0,0,1,0.17425,0.00425,0.22525
0,1022.2,79404,0,0,0,1,0.17425,0.00425,0.10625
0,1021.3,75675,0,0,0,1,0.17425,0.00425,0.15725
1,1007.6,26128,0.11375,0,-14.191,1,0.13578,0.00425,0.11254
0,1000,4.2452,0,0,0,1,0.19125,0.00425,0.19125
0,1004.8,16088,0,0,0,1,0.18275,0.00425,0.19125
0,1032.3,1.1784e+05,0,0,0,1,0.17425,0.00425,0.25075
1,1012.8,44380,0.35364,0,-18.326,1,0.074455,0.00425,0.38424
1,1008.5,28777,-0.12802,0,-18.86,1,0.090072,0.00425,0.26637
0,1006.6,22187,0,0,0,1,0.18275,0.00425,0.25075
1,1002.2,7571.9,-0.31352,0,-17.427,1,0.1209,0.00425,0.27702
0,1020,70569,0,0,0,1,0.17425,0.00425,0.30175
1,1014.5,50458,-0.57691,0,-10.543,1,0.15868,0.00425,0.13318
0,1000,6.0488,0,0,0,1,0.19125,0.00425,0.25075
0,1000,3.9384,0,0,0,1,0.19125,0.00425,0.28475
1,1010.8,36813,-0.1346,0,-17.931,1,0.11097,0.00425,0.099847
0,1000,3.1834,0,0,0,1,0.19125,0.00425,0.01275
0,1034.6,1.2869e+05,0,0,0,1,0.17425,0.00425,0.25925
0,1005.8,19679,0,0,0,1,0.18275,0.00425,0.25925
0,1003.1,10472,0,0,0,1,0.18275,0.00425,0.30175
1,1007.8,26447,0.42684,0,-18.769,1,0.07441,0.00425,0.016806
1,1009.2,31527,-0.5226,0,-18.748,1,0.071876,0.00425,0.12608
0,1026.6,95366,0,0,0,1,0.17425,0.00425,0.19125
1,1002.4,8104.2,-0.03569,0,-19.065,1,0.097502,0.00425,0.68393
1,1011.1,37932,0.54759,0,-17.032,1,0.11941,0.00425,0.29536
1,1018.1,63998,0.26603,0,-15.681,1,0.1235,0.00425,0.16933
0,1000,3.8323,0,0,0,1,0.19125,0.00425,0.25925
0,1004.2,14402,0,0,0,1,0.18275,0.00425,0.28475
0,1026.7,96881,0,0,0,1,0.17425,0.00425,0.28475
0,1000,3.9247,0,0,0,1,0.19125,0.00425,0.18275
0,1000,5.4636,0,0,0,1,0.19125,0.00425,0.20825
0,1003,10153,0,0,0,1,0.18275,0.00425,0.18275
1,1011.9,41121,0.0057087,0,-18.709,1,0.074244,0.00425,0.11204
1,1012.5,43041,0.052245,0,-18.381,1,0.09994,0.00425,0.67031
1,1007.6,25919,0.019991,0,-18.935,1,0.087706,0.00425,0.3099
1,1005.8,19566,-0.22021,0,-17.431,1,0.11832,0.00425,0.38673
1,1016.3,57088,-0.22605,0,-18.166,1,0.074185,0.00425,0.28332
1,1010.9,37544,-0.0072284,0,-16.54,1,0.12235,0.00425,0.078686
1,1008.7,29344,-0.75605,0,-18.728,1,0.084628,0.00425,0.15267
1,1010,33938,0.21718,0,-14.717,1,0.13981,0.00425,0.09926
1,1012.4,43183,-0.20334,0,-15.992,1,0.13118,0.00425,0.24606
0,1005.7,19461,0,0,0,1,0.18275,0.00425,0.26775
0,1004.9,16396,0,0,0,1,0.18275,0.00425,0.20825
0,1024.1,86114,0,0,0,1,0.17425,0.00425,0.04675
0,1000,5.5585,0,0,0,1,0.19125,0.00425,0.26775
1,1016.6,57879,0.26582,0,-18.598,1,0.081787,0.00425,0.054692
0,1002.7,9001,0,0,0,1,0.18275,0.00425,0.16575
0,1002.5,8398.1,0,0,0,1,0.18275,0.00425,0.29325
1,1001.5,4725.9,-0.30576,0,-12.976,1,0.14509,0.00425,0.16687
1,1007.4,25278,-0.097726,0,-16.553,1,0.12086,0.00425,0.13252
1,1012.1,41953,0.30797,0,-13.619,1,0.14239,0.00425,0.30865
0,1029.5,1.0709e+05,0,0,0,1,0.17425,0.00425,0.27625
